set_a,set_b,image_a,image_b,distance
sysucc,sysucc,malignant(322).png,malignant(323).png,2
sysucc,sysucc,malignant(327).png,malignant(329).png,2
sysucc,sysucc,malignant(333).png,malignant(336).png,2
sysucc,sysucc,malignant(334).png,malignant(335).png,2
sysucc,sysucc,malignant(352).png,malignant(353).png,2
sysucc,sysucc,malignant(354).png,malignant(358).png,2
sysucc,sysucc,malignant(355).png,malignant(356).png,2
sysucc,sysucc,malignant(364).png,malignant(367).png,2
sysucc,sysucc,malignant(371).png,malignant(372).png,2
sysucc,sysucc,malignant(384).png,malignant(386).png,2
sysucc,sysucc,malignant(385).png,malignant(387).png,2
sysucc,sysucc,malignant(389).png,malignant(392).png,2
sysucc,sysucc,malignant(390).png,malignant(391).png,2
sysucc,sysucc,malignant(403).png,malignant(406).png,2
sysucc,sysucc,malignant(404).png,malignant(405).png,2
sysucc,sysucc,malignant(408).png,malignant(409).png,2
sysucc,sysucc,malignant(44).png,malignant(46).png,2
sysucc,sysucc,malignant(448).png,malignant(449).png,2
sysucc,sysucc,malignant(450).png,malignant(451).png,2
sysucc,sysucc,malignant(452).png,malignant(453).png,2
sysucc,sysucc,malignant(457).png,malignant(459).png,2
sysucc,sysucc,malignant(467).png,malignant(468).png,2
sysucc,sysucc,malignant(480).png,malignant(485).png,2
sysucc,sysucc,malignant(487).png,malignant(488).png,2
sysucc,sysucc,malignant(49).png,malignant(50).png,2
sysucc,sysucc,malignant(498).png,malignant(499).png,2
sysucc,sysucc,malignant(502).png,malignant(504).png,2
sysucc,sysucc,malignant(507).png,malignant(508).png,2
sysucc,sysucc,malignant(513).png,malignant(515).png,2
sysucc,sysucc,malignant(514).png,malignant(516).png,2
sysucc,sysucc,malignant(518).png,malignant(519).png,2
sysucc,sysucc,malignant(526).png,malignant(527).png,2
sysucc,sysucc,malignant(528).png,malignant(529).png,2
sysucc,sysucc,malignant(551).png,malignant(552).png,2
sysucc,sysucc,malignant(569).png,malignant(570).png,2
sysucc,sysucc,malignant(581).png,malignant(584).png,2
sysucc,sysucc,malignant(585).png,malignant(586).png,2
sysucc,sysucc,malignant(587).png,malignant(588).png,2
sysucc,sysucc,malignant(594).png,malignant(595).png,2
sysucc,sysucc,malignant(60).png,malignant(61).png,2
sysucc,sysucc,malignant(604).png,malignant(607).png,2
sysucc,sysucc,malignant(605).png,malignant(606).png,2
sysucc,sysucc,malignant(608).png,malignant(611).png,2
sysucc,sysucc,malignant(615).png,malignant(617).png,2
sysucc,sysucc,malignant(616).png,malignant(618).png,2
sysucc,sysucc,malignant(632).png,malignant(634).png,2
sysucc,sysucc,malignant(635).png,malignant(637).png,2
sysucc,sysucc,malignant(636).png,malignant(637).png,2
sysucc,sysucc,malignant(639).png,malignant(641).png,2
sysucc,sysucc,malignant(659).png,malignant(663).png,2
sysucc,sysucc,malignant(661).png,malignant(662).png,2
sysucc,sysucc,malignant(669).png,malignant(672).png,2
sysucc,sysucc,malignant(670).png,malignant(671).png,2
sysucc,sysucc,malignant(675).png,malignant(678).png,2
sysucc,sysucc,malignant(676).png,malignant(679).png,2
sysucc,sysucc,malignant(677).png,malignant(680).png,2
sysucc,sysucc,malignant(685).png,malignant(686).png,2
sysucc,sysucc,malignant(687).png,malignant(688).png,2
sysucc,sysucc,malignant(689).png,malignant(690).png,2
sysucc,sysucc,malignant(691).png,malignant(694).png,2
sysucc,sysucc,malignant(696).png,malignant(701).png,2
sysucc,sysucc,malignant(697).png,malignant(699).png,2
sysucc,sysucc,malignant(698).png,malignant(700).png,2
sysucc,sysucc,malignant(7).png,malignant(8).png,2
sysucc,sysucc,malignant(706).png,malignant(709).png,2
sysucc,sysucc,malignant(733).png,malignant(734).png,2
sysucc,sysucc,malignant(739).png,malignant(741).png,2
sysucc,sysucc,malignant(740).png,malignant(743).png,2
sysucc,sysucc,malignant(744).png,malignant(745).png,2
sysucc,sysucc,malignant(746).png,malignant(747).png,2
sysucc,sysucc,malignant(75).png,malignant(77).png,2
sysucc,sysucc,malignant(756).png,malignant(758).png,2
sysucc,sysucc,malignant(757).png,malignant(759).png,2
sysucc,sysucc,malignant(779).png,malignant(782).png,2
sysucc,sysucc,malignant(78).png,malignant(79).png,2
sysucc,sysucc,malignant(780).png,malignant(781).png,2
sysucc,sysucc,malignant(783).png,malignant(784).png,2
sysucc,sysucc,malignant(785).png,malignant(786).png,2
sysucc,sysucc,malignant(793).png,malignant(795).png,2
sysucc,sysucc,malignant(797).png,malignant(798).png,2
sysucc,sysucc,malignant(80).png,malignant(82).png,2
sysucc,sysucc,malignant(80).png,malignant(83).png,2
sysucc,sysucc,malignant(801).png,malignant(805).png,2
sysucc,sysucc,malignant(81).png,malignant(84).png,2
sysucc,sysucc,malignant(810).png,malignant(813).png,2
sysucc,sysucc,malignant(822).png,malignant(825).png,2
sysucc,sysucc,malignant(823).png,malignant(824).png,2
sysucc,sysucc,malignant(826).png,malignant(827).png,2
sysucc,sysucc,malignant(827).png,malignant(829).png,2
sysucc,sysucc,malignant(845).png,malignant(847).png,2
sysucc,sysucc,malignant(853).png,malignant(856).png,2
sysucc,sysucc,malignant(857).png,malignant(858).png,2
sysucc,sysucc,malignant(862).png,malignant(865).png,2
sysucc,sysucc,malignant(884).png,malignant(885).png,2
sysucc,sysucc,malignant(886).png,malignant(890).png,2
sysucc,sysucc,malignant(892).png,malignant(894).png,2
sysucc,sysucc,malignant(905).png,malignant(906).png,2
sysucc,sysucc,malignant(910).png,malignant(911).png,2
sysucc,sysucc,malignant(913).png,malignant(916).png,2
sysucc,sysucc,malignant(923).png,malignant(925).png,2
sysucc,sysucc,malignant(927).png,malignant(928).png,2
sysucc,sysucc,malignant(929).png,malignant(930).png,2
sysucc,sysucc,malignant(932).png,malignant(933).png,2
sysucc,sysucc,malignant(940).png,malignant(941).png,2
sysucc,sysucc,malignant(942).png,malignant(943).png,2
sysucc,sysucc,malignant(950).png,malignant(953).png,2
sysucc,sysucc,malignant(977).png,malignant(980).png,2
sysucc,sysucc,malignant(993).png,malignant(998).png,2
sysucc,sysucc,malignant(994).png,malignant(995).png,2
sysucc,sysucc,malignant(994).png,malignant(999).png,2
sysucc,sysucc,malignant(995).png,malignant(997).png,2
sysucc,sysucc,malignant(997).png,malignant(999).png,2
sysucc,sysucc,benign(101).png,benign(102).png,4
sysucc,sysucc,benign(11).png,benign(12).png,4
sysucc,sysucc,benign(123).png,benign(132).png,4
sysucc,sysucc,benign(127).png,benign(128).png,4
sysucc,sysucc,benign(134).png,benign(136).png,4
sysucc,sysucc,benign(157).png,benign(160).png,4
sysucc,sysucc,benign(158).png,benign(161).png,4
sysucc,sysucc,benign(191).png,benign(198).png,4
sysucc,sysucc,benign(192).png,benign(194).png,4
sysucc,sysucc,benign(196).png,benign(197).png,4
sysucc,sysucc,benign(21).png,benign(22).png,4
sysucc,sysucc,benign(210).png,benign(212).png,4
sysucc,sysucc,benign(223).png,benign(224).png,4
sysucc,sysucc,benign(229).png,benign(230).png,4
sysucc,sysucc,benign(240).png,benign(247).png,4
sysucc,sysucc,benign(26).png,benign(27).png,4
sysucc,sysucc,benign(265).png,benign(267).png,4
sysucc,sysucc,benign(271).png,benign(272).png,4
sysucc,sysucc,benign(275).png,benign(279).png,4
sysucc,sysucc,benign(276).png,benign(278).png,4
sysucc,sysucc,benign(284).png,benign(287).png,4
sysucc,sysucc,benign(284).png,malignant(702).png,4
sysucc,sysucc,benign(287).png,malignant(703).png,4
sysucc,sysucc,benign(291).png,benign(292).png,4
sysucc,sysucc,benign(297).png,benign(298).png,4
sysucc,sysucc,benign(302).png,benign(303).png,4
sysucc,sysucc,benign(305).png,benign(308).png,4
sysucc,sysucc,benign(350).png,benign(353).png,4
sysucc,sysucc,benign(352).png,benign(353).png,4
sysucc,sysucc,benign(362).png,benign(365).png,4
sysucc,sysucc,benign(363).png,benign(364).png,4
sysucc,sysucc,benign(374).png,benign(376).png,4
sysucc,sysucc,benign(38).png,benign(39).png,4
sysucc,sysucc,benign(388).png,benign(389).png,4
sysucc,sysucc,benign(398).png,benign(400).png,4
sysucc,sysucc,benign(402).png,benign(403).png,4
sysucc,sysucc,benign(405).png,benign(406).png,4
sysucc,sysucc,benign(407).png,benign(408).png,4
sysucc,sysucc,benign(411).png,benign(412).png,4
sysucc,sysucc,benign(413).png,benign(416).png,4
sysucc,sysucc,benign(433).png,benign(434).png,4
sysucc,sysucc,benign(438).png,benign(64).png,4
sysucc,sysucc,benign(44).png,benign(45).png,4
sysucc,sysucc,benign(49).png,benign(50).png,4
sysucc,sysucc,benign(52).png,benign(53).png,4
sysucc,sysucc,benign(64).png,malignant(1091).png,4
sysucc,sysucc,benign(88).png,benign(91).png,4
sysucc,sysucc,malignant(1001).png,malignant(1003).png,4
sysucc,sysucc,malignant(1004).png,malignant(1012).png,4
sysucc,sysucc,malignant(1014).png,malignant(1016).png,4
sysucc,sysucc,malignant(1019).png,malignant(1020).png,4
sysucc,sysucc,malignant(1031).png,malignant(1032).png,4
sysucc,sysucc,malignant(1042).png,malignant(1047).png,4
sysucc,sysucc,malignant(1043).png,malignant(1046).png,4
sysucc,sysucc,malignant(1054).png,malignant(1056).png,4
sysucc,sysucc,malignant(109).png,malignant(110).png,4
sysucc,sysucc,malignant(1097).png,malignant(118).png,4
sysucc,sysucc,malignant(1099).png,malignant(119).png,4
sysucc,sysucc,malignant(110).png,malignant(114).png,4
sysucc,sysucc,malignant(111).png,malignant(113).png,4
sysucc,sysucc,malignant(146).png,malignant(150).png,4
sysucc,sysucc,malignant(148).png,malignant(149).png,4
sysucc,sysucc,malignant(17).png,malignant(20).png,4
sysucc,sysucc,malignant(173).png,malignant(177).png,4
sysucc,sysucc,malignant(180).png,malignant(184).png,4
sysucc,sysucc,malignant(189).png,malignant(203).png,4
sysucc,sysucc,malignant(206).png,malignant(207).png,4
sysucc,sysucc,malignant(210).png,malignant(211).png,4
sysucc,sysucc,malignant(212).png,malignant(213).png,4
sysucc,sysucc,malignant(244).png,malignant(245).png,4
sysucc,sysucc,malignant(244).png,malignant(247).png,4
sysucc,sysucc,malignant(26).png,malignant(28).png,4
sysucc,sysucc,malignant(283).png,malignant(285).png,4
sysucc,sysucc,malignant(291).png,malignant(294).png,4
sysucc,sysucc,malignant(292).png,malignant(293).png,4
sysucc,sysucc,malignant(299).png,malignant(300).png,4
sysucc,sysucc,malignant(301).png,malignant(303).png,4
sysucc,sysucc,malignant(318).png,malignant(321).png,4
sysucc,sysucc,malignant(328).png,malignant(330).png,4
sysucc,sysucc,malignant(341).png,malignant(342).png,4
sysucc,sysucc,malignant(343).png,malignant(344).png,4
sysucc,sysucc,malignant(345).png,malignant(347).png,4
sysucc,sysucc,malignant(359).png,malignant(362).png,4
sysucc,sysucc,malignant(360).png,malignant(361).png,4
sysucc,sysucc,malignant(365).png,malignant(366).png,4
sysucc,sysucc,malignant(399).png,malignant(402).png,4
sysucc,sysucc,malignant(407).png,malignant(411).png,4
sysucc,sysucc,malignant(417).png,malignant(419).png,4
sysucc,sysucc,malignant(43).png,malignant(47).png,4
sysucc,sysucc,malignant(432).png,malignant(433).png,4
sysucc,sysucc,malignant(435).png,malignant(437).png,4
sysucc,sysucc,malignant(436).png,malignant(438).png,4
sysucc,sysucc,malignant(441).png,malignant(442).png,4
sysucc,sysucc,malignant(454).png,malignant(456).png,4
sysucc,sysucc,malignant(455).png,malignant(460).png,4
sysucc,sysucc,malignant(464).png,malignant(465).png,4
sysucc,sysucc,malignant(476).png,malignant(477).png,4
sysucc,sysucc,malignant(482).png,malignant(483).png,4
sysucc,sysucc,malignant(482).png,malignant(486).png,4
sysucc,sysucc,malignant(509).png,malignant(510).png,4
sysucc,sysucc,malignant(511).png,malignant(512).png,4
sysucc,sysucc,malignant(517).png,malignant(520).png,4
sysucc,sysucc,malignant(52).png,malignant(54).png,4
sysucc,sysucc,malignant(523).png,malignant(525).png,4
sysucc,sysucc,malignant(53).png,malignant(55).png,4
sysucc,sysucc,malignant(545).png,malignant(548).png,4
sysucc,sysucc,malignant(554).png,malignant(557).png,4
sysucc,sysucc,malignant(555).png,malignant(556).png,4
sysucc,sysucc,malignant(609).png,malignant(612).png,4
sysucc,sysucc,malignant(609).png,malignant(613).png,4
sysucc,sysucc,malignant(619).png,malignant(620).png,4
sysucc,sysucc,malignant(630).png,malignant(631).png,4
sysucc,sysucc,malignant(673).png,malignant(674).png,4
sysucc,sysucc,malignant(683).png,malignant(684).png,4
sysucc,sysucc,malignant(693).png,malignant(695).png,4
sysucc,sysucc,malignant(702).png,malignant(703).png,4
sysucc,sysucc,malignant(707).png,malignant(708).png,4
sysucc,sysucc,malignant(714).png,malignant(715).png,4
sysucc,sysucc,malignant(731).png,malignant(732).png,4
sysucc,sysucc,malignant(764).png,malignant(767).png,4
sysucc,sysucc,malignant(799).png,malignant(800).png,4
sysucc,sysucc,malignant(807).png,malignant(808).png,4
sysucc,sysucc,malignant(846).png,malignant(848).png,4
sysucc,sysucc,malignant(854).png,malignant(855).png,4
sysucc,sysucc,malignant(860).png,malignant(861).png,4
