image,p_cn,p_cn_masked,p_vit,p_vit_masked,drop_cn,drop_vit
bus_0488-r,0.0014165253,0.00077031634,0.8332038,0.64785695,0.000646209,0.18534684
bus_0543-l,0.9987325,0.9952866,0.9814457,0.9831389,0.0034459233,-0.0016931891
bus_0543-r,0.99165756,0.98613316,0.12632403,0.23259977,0.005524397,-0.10627574
bus_0560-l,0.049369983,0.043711238,0.13007031,0.08214417,0.0056587458,0.047926143
bus_0560-r,0.992235,0.9376567,0.99415743,0.9907259,0.054578304,0.0034315586
bus_0585-l,0.95488787,0.0006058412,0.5860453,0.0022849415,0.95428205,0.5837604
bus_0585-r,0.0208844,0.00046632992,0.00023082606,0.00022863701,0.02041807,2.1890446e-06
bus_0594-l,0.9948297,0.9614533,0.9851038,0.9766103,0.033376396,0.008493483
bus_0594-r,0.998711,0.99738485,0.9959708,0.9784353,0.0013261437,0.017535508
bus_0596-l,0.9956677,0.50716317,0.1571014,0.17632376,0.48850453,-0.019222364
bus_0596-r,0.9930698,0.9745268,0.8501858,0.5904257,0.018543005,0.25976008
bus_0609-l,0.9997178,0.9986921,0.9937988,0.730158,0.0010256767,0.26364082
bus_0609-r,0.99682593,0.89705306,0.8247225,0.86107284,0.09977287,-0.03635031
bus_0630-l,0.015682893,0.009332179,0.3951652,0.121450014,0.006350714,0.2737152
bus_0630-r,0.0063822917,0.015524527,0.00064400956,0.0013227735,-0.009142235,-0.00067876396
bus_0639-l,0.9994112,0.99741864,0.9999083,0.9998865,0.0019925833,2.18153e-05
bus_0639-r,0.99952984,0.9988644,0.99928063,0.97373635,0.00066542625,0.025544286
bus_0641-l,0.9994991,0.9970354,0.61277896,0.16928755,0.0024636984,0.4434914
bus_0641-r,0.99963486,0.984101,0.7640924,0.16172913,0.0155338645,0.6023632
bus_0644-l,0.9994066,0.99392843,0.9871977,0.89404637,0.0054781437,0.09315133
bus_0644-r,0.9989147,0.9979715,0.9996586,0.99953806,0.0009432435,0.00012052059
bus_0663-l,0.13044757,0.02420312,0.6957946,0.64132017,0.106244445,0.054474413
bus_0663-r,0.00018583624,0.0014605325,0.12764448,0.05138482,-0.0012746963,0.07625966
bus_0664-s,0.99631786,0.8587991,0.9936308,0.9956839,0.13751876,-0.002053082
bus_0667-l,0.035019033,0.0003722739,0.0010089125,0.002296737,0.034646757,-0.0012878245
bus_0667-r,0.00017282317,0.00018238416,0.0021418107,0.0022071619,-9.560987e-06,-6.535114e-05
bus_0669-l,0.9992079,0.997957,0.9979007,0.9332265,0.0012509227,0.0646742
bus_0669-r,0.9989248,0.969257,0.9994692,0.9954072,0.029667795,0.004061997
bus_0676-s,0.9995047,0.9993148,0.9984597,0.9984182,0.0001899004,4.1484833e-05
bus_0677-s,0.9992125,0.9975248,0.9762187,0.9933494,0.0016877055,-0.017130673
bus_0747-s,0.0006146907,0.00034755218,0.0018231259,0.0020374332,0.00026713853,-0.00021430734
bus_0758-s,0.9996892,0.99949074,0.999629,0.9994624,0.00019848347,0.00016659498
bus_0838-s,0.9980945,0.9684397,0.99730945,0.98998547,0.0296548,0.0073239803
bus_0944-l,0.99645823,0.98834175,0.9184875,0.8584466,0.008116484,0.06004089
bus_0944-r,0.9921969,0.34504062,0.9118148,0.80483675,0.6471563,0.10697806
bus_0945-l,0.99830735,0.98296565,0.9911151,0.8604449,0.015341699,0.13067019
bus_0945-r,0.9986584,0.9900996,0.9960712,0.9946228,0.00855881,0.0014483929
bus_0948-l,0.9993438,0.9901676,0.9642251,0.8826462,0.009176195,0.08157891
bus_0948-r,0.9997979,0.9995327,0.99696225,0.9886851,0.00026518106,0.008277178
bus_0972-s,0.9870034,0.005305978,0.9988285,0.47024277,0.9816974,0.5285857
bus_0980-l,0.9982907,0.99140245,0.8101143,0.19843864,0.0068882704,0.6116757
bus_0980-r,0.9994497,0.9915208,0.99992144,0.9999316,0.007928848,-1.013279e-05
bus_1002-l,0.14439167,0.00035737635,0.8599413,0.0023568652,0.1440343,0.8575844
bus_1002-r,0.5846125,0.009878965,0.9547176,0.5931578,0.5747335,0.36155975
bus_1027-l,0.9977196,0.9672037,0.99990034,0.9995369,0.03051591,0.00036346912
bus_1027-r,0.9990637,0.9980167,0.9996176,0.99492764,0.0010469556,0.004689932
bus_1033-l,0.967933,0.08970573,0.024090398,0.007892769,0.8782273,0.01619763
bus_1033-r,0.5630779,0.68360317,0.63296777,0.8687444,-0.12052524,-0.2357766
bus_1040-l,0.99866843,0.9946684,0.99970585,0.9925045,0.004000008,0.0072013736
bus_1040-r,0.9993599,0.9987783,0.9998605,0.99881977,0.0005816221,0.0010407567
bus_1050-l,0.96623224,0.45098078,0.96973026,0.3220995,0.51525146,0.64763075
bus_1050-r,0.99622655,0.0015985022,0.86964166,0.003955732,0.9946281,0.86568594
